Grade,Subject,jmtes_mean,jmtes_sd,jmtes_median,jmtes_n,jes_mean,jes_sd,jes_median,jes_n,difference_in_mean
Kindergarten,ELA,1054.75,14.93,1059.5,106,1052.16,18.97,1057,295,2.59
Kindergarten,Math,1052.26,16.34,1052,106,1053.02,18.77,1052,290,-0.76
Grade 1,ELA,1050.56,16.88,1053,165,1046.92,22.55,1055,325,3.64
Grade 1,Math,1049.43,16.44,1049,164,1050.31,18.96,1052,324,-0.88
Grade 2,ELA,1048.51,17.42,1052,194,1048.48,20.12,1052,267,0.03
Grade 2,Math,1048.35,12.61,1050,193,1047.85,15.99,1050,265,0.49
Grade 3,ELA,1046.65,16.51,1048,321,1041.69,15.49,1042,353,4.96
Grade 3,Math,1041.26,16.90,1041,318,1038.66,16.68,1039,456,2.61
Grade 3,Science,1047.47,16.47,1047,242,1040.38,12.23,1041,240,7.09
Grade 4,ELA,1049.85,16.96,1048,277,1041.96,15.11,1040,344,7.89
Grade 4,Math,1044.36,16.43,1043,278,1036.18,17.04,1038.5,444,8.19
Grade 4,Science,1050.89,15.44,1050,279,1042.94,11.79,1041,343,7.95
Grade 5,ELA,1049.34,15.53,1050,181,1042.82,13.42,1042,282,6.52
Grade 5,Math,1044.48,19.84,1046,185,1037.69,16.76,1041,371,6.79
Grade 5,Science,1050.32,14.04,1049,183,1042.04,11.03,1041,283,8.28
