grade,school,jmtes,subject,student_id,post_score,baseline_score,baseline_source,female,black,age,meal_status,entry_code,source_file
Kindergarten,JMTES,1,ELA,1281335277,1024.0,1023.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,1281335277,1031.0,1015.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8545380815,1070.0,1068.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8545380815,1074.0,1064.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7870480881,1056.0,1051.0,ELA Winter 2025,1,1,5.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7870480881,1037.0,1039.0,Math Winter 2025,1,1,5.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3368668841,1048.0,1034.0,ELA Winter 2025,1,0,7.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3368668841,1041.0,1033.0,Math Winter 2025,1,0,7.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2164761671,1062.0,1050.0,ELA Winter 2025,1,1,5.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2164761671,1045.0,1046.0,Math Winter 2025,1,1,5.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5016305857,1059.0,1049.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5016305857,1067.0,1054.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,1571820886,1064.0,1054.0,ELA Winter 2025,0,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,1571820886,1063.0,1044.0,Math Winter 2025,0,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,4642137608,1071.0,1063.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,4642137608,1072.0,1060.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,4623230243,1047.0,1030.0,ELA Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,4623230243,1041.0,1019.0,Math Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7115522582,1066.0,1059.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7115522582,1052.0,1038.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2823857728,1070.0,1063.0,ELA Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2823857728,1064.0,1044.0,Math Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7847462433,1023.0,1024.0,ELA Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7847462433,1028.0,1028.0,Math Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2075503182,1072.0,1066.0,ELA Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2075503182,1060.0,1051.0,Math Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5126383372,1073.0,1059.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5126383372,1084.0,1061.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7454881042,1048.0,1033.0,ELA Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7454881042,1019.0,1018.0,Math Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8532567423,1063.0,1047.0,ELA Winter 2025,0,0,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8532567423,1070.0,1047.0,Math Winter 2025,0,0,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5413244554,1074.0,1067.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5413244554,1108.0,1080.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,6060263806,1069.0,1060.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,6060263806,1063.0,1054.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,1401234515,1072.0,1063.0,ELA Winter 2025,1,0,6.0,02,C,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,1401234515,1054.0,1065.0,Math Winter 2025,1,0,6.0,02,C,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8257212275,1056.0,1049.0,ELA Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8257212275,1049.0,1041.0,Math Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5502486531,1067.0,1061.0,ELA Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5502486531,1067.0,1061.0,Math Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3105132411,1063.0,1043.0,ELA Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3105132411,1049.0,1035.0,Math Winter 2025,0,1,6.0,02,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8168157341,1061.0,1047.0,ELA Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8168157341,1054.0,1043.0,Math Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3503322076,1069.0,1065.0,ELA Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3503322076,1085.0,1065.0,Math Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3316787216,1074.0,1068.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3316787216,1068.0,1057.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8346731262,1055.0,1040.0,ELA Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8346731262,1052.0,1039.0,Math Winter 2025,0,0,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8328455856,1043.0,1037.0,ELA Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8328455856,1047.0,1029.0,Math Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7481634806,1073.0,1071.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7481634806,1075.0,1063.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8227401564,1066.0,1001.0,ELA Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8227401564,1062.0,1046.0,Math Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8468221268,1038.0,1000.0,ELA Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8468221268,1031.0,1029.0,Math Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8488104515,1063.0,1044.0,ELA Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8488104515,1048.0,1025.0,Math Winter 2025,1,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3861166743,1047.0,1033.0,ELA Winter 2025,1,0,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3861166743,1047.0,1031.0,Math Winter 2025,1,0,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8842832473,1061.0,1041.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8842832473,1069.0,1054.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7147016833,1063.0,1052.0,ELA Winter 2025,1,0,7.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7147016833,1054.0,1046.0,Math Winter 2025,1,0,7.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,6041588515,1064.0,1067.0,ELA Winter 2025,0,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,6041588515,1075.0,1055.0,Math Winter 2025,0,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8446347283,1041.0,1041.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8446347283,1047.0,1044.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2337025058,1062.0,1057.0,ELA Winter 2025,0,0,7.0,03,C,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2337025058,1049.0,1035.0,Math Winter 2025,0,0,7.0,03,C,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,1336070802,1051.0,1047.0,ELA Winter 2025,0,1,6.0,05,S,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,1336070802,1058.0,1047.0,Math Winter 2025,0,1,6.0,05,S,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5548007443,1047.0,1048.0,ELA Winter 2025,0,1,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5548007443,1054.0,1037.0,Math Winter 2025,0,1,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,3737167037,1072.0,1063.0,ELA Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,3737167037,1067.0,1054.0,Math Winter 2025,1,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,4262612834,1067.0,1062.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,4262612834,1087.0,1057.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7485705313,1065.0,1061.0,ELA Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7485705313,1059.0,1057.0,Math Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2456201474,1056.0,1037.0,ELA Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2456201474,1042.0,1037.0,Math Winter 2025,0,0,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2242151636,1057.0,1043.0,ELA Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2242151636,1052.0,1043.0,Math Winter 2025,0,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2678158112,1064.0,1057.0,ELA Winter 2025,0,0,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2678158112,1085.0,1062.0,Math Winter 2025,0,0,6.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,4361857418,1068.0,1061.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,4361857418,1059.0,1049.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,5533781378,1074.0,1064.0,ELA Winter 2025,1,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,5533781378,1073.0,1062.0,Math Winter 2025,1,1,6.0,01,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,8172887263,1070.0,1063.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,8172887263,1064.0,1055.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,1442208607,1043.0,1043.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,1442208607,1040.0,1047.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,7283720144,1050.0,1037.0,ELA Winter 2025,0,1,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,7283720144,1044.0,1044.0,Math Winter 2025,0,1,5.0,05,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,4324778325,1060.0,1071.0,ELA Winter 2025,0,1,5.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,4324778325,1077.0,1059.0,Math Winter 2025,0,1,5.0,03,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,ELA,2168086213,1068.0,1061.0,ELA Winter 2025,0,1,7.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JMTES,1,Math,2168086213,1071.0,1039.0,Math Winter 2025,0,1,7.0,04,R,Kindergarten/JMTES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,1130750711,1061.0,1016.0,ELA Winter 2025,1,0,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,1130750711,1067.0,1063.0,Math Winter 2025,1,0,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,1704355442,1037.0,1021.0,ELA Winter 2025,1,1,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,1704355442,1027.0,1023.0,Math Winter 2025,1,1,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,6035882474,1046.0,1032.0,ELA Winter 2025,0,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,6035882474,1043.0,1043.0,Math Winter 2025,0,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,8040377668,1063.0,1038.0,ELA Sum 2025,1,0,6.0,01,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,8040377668,1056.0,1039.0,Math Sum 2025,1,0,6.0,01,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,6470848375,1069.0,1065.0,ELA Sum 2025,0,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,6470848375,1077.0,1062.0,Math Sum 2025,0,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,1552465211,1077.0,1084.0,ELA Sum 2025,1,0,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,1552465211,1117.0,1115.0,Math Sum 2025,1,0,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,8075755073,1066.0,1078.0,ELA Sum 2025,1,1,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,8075755073,1067.0,1077.0,Math Sum 2025,1,1,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,5815648854,1064.0,1063.0,ELA Winter 2025,0,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,5815648854,1050.0,1039.0,Math Winter 2025,0,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,4082050754,1050.0,1044.0,ELA Winter 2025,0,0,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,4082050754,1054.0,1029.0,Math Winter 2025,0,0,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,1623528582,1078.0,1078.0,ELA Sum 2025,1,1,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,1623528582,1098.0,1076.0,Math Sum 2025,1,1,6.0,05,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,5464087505,1067.0,1056.0,ELA Sum 2025,1,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,5464087505,1067.0,1054.0,Math Sum 2025,1,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,3805518727,1072.0,1008.0,ELA Winter 2025,0,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,3805518727,1072.0,1071.0,Math Winter 2025,0,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,2502613047,1068.0,1002.0,ELA Winter 2025,1,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,2502613047,1036.0,1030.0,Math Winter 2025,1,0,6.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,1030266188,1058.0,1062.0,ELA Sum 2025,1,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,1030266188,1041.0,1048.0,Math Sum 2025,1,1,6.0,04,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,ELA,7811801783,1044.0,1039.0,ELA Winter 2025,1,1,5.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
Kindergarten,JES,0,Math,7811801783,1028.0,1037.0,Math Winter 2025,1,1,5.0,03,R,Kindergarten/JES Atlas Report - Kindergarten - Merged At Risk.csv
