domain,model,school,propensity
Academic,Grade 1 ELA,JMTES,0.3963880292893878
Academic,Grade 1 ELA,JMTES,0.22726058072399
Academic,Grade 1 ELA,JMTES,0.5436186395924932
Academic,Grade 1 ELA,JMTES,0.41907953207124565
Academic,Grade 1 ELA,JMTES,0.2907873442663903
Academic,Grade 1 ELA,JMTES,0.5192125395395968
Academic,Grade 1 ELA,JMTES,0.47323935169690434
Academic,Grade 1 ELA,JMTES,0.43782633467619575
Academic,Grade 1 ELA,JMTES,0.38937390521794085
Academic,Grade 1 ELA,JMTES,0.323837309355076
Academic,Grade 1 ELA,JMTES,0.466744676947231
Academic,Grade 1 ELA,JMTES,0.40791060472568913
Academic,Grade 1 ELA,JMTES,0.3354697430594356
Academic,Grade 1 ELA,JMTES,0.38989776026928696
Academic,Grade 1 ELA,JMTES,0.4447462042760821
Academic,Grade 1 ELA,JMTES,0.4768627857469191
Academic,Grade 1 ELA,JMTES,0.4239270253096106
Academic,Grade 1 ELA,JMTES,0.42162897612667544
Academic,Grade 1 ELA,JMTES,0.4518997092913905
Academic,Grade 1 ELA,JMTES,0.4722123765899236
Academic,Grade 1 ELA,JMTES,0.4004225562282706
Academic,Grade 1 ELA,JMTES,0.38736810959335843
Academic,Grade 1 ELA,JMTES,0.3419826044481192
Academic,Grade 1 ELA,JMTES,0.25714080944674983
Academic,Grade 1 ELA,JMTES,0.28975333926566016
Academic,Grade 1 ELA,JMTES,0.28593031037261174
Academic,Grade 1 ELA,JMTES,0.4099382920307776
Academic,Grade 1 ELA,JMTES,0.3646942359020814
Academic,Grade 1 ELA,JMTES,0.32021136477251505
Academic,Grade 1 ELA,JMTES,0.2908251950776976
Academic,Grade 1 ELA,JMTES,0.3653138832670826
Academic,Grade 1 ELA,JMTES,0.39686109917898477
Academic,Grade 1 ELA,JMTES,0.4167887486424085
Academic,Grade 1 ELA,JMTES,0.3806855758450276
Academic,Grade 1 ELA,JMTES,0.21596766212593935
Academic,Grade 1 ELA,JMTES,0.40645099019532305
Academic,Grade 1 ELA,JMTES,0.3851792085914886
Academic,Grade 1 ELA,JMTES,0.3718886141672999
Academic,Grade 1 ELA,JMTES,0.3347677416426565
Academic,Grade 1 ELA,JMTES,0.42440527702268027
Academic,Grade 1 ELA,JMTES,0.4014747281169071
Academic,Grade 1 ELA,JMTES,0.42137380935760493
Academic,Grade 1 ELA,JMTES,0.35017012876984116
Academic,Grade 1 ELA,JMTES,0.3217525466086727
Academic,Grade 1 ELA,JMTES,0.2512782256855067
Academic,Grade 1 ELA,JMTES,0.5738411127010286
Academic,Grade 1 ELA,JMTES,0.49412652171471333
Academic,Grade 1 ELA,JMTES,0.2207800938533408
Academic,Grade 1 ELA,JMTES,0.39184697234570526
Academic,Grade 1 ELA,JMTES,0.3230375168450929
Academic,Grade 1 ELA,JMTES,0.37291644309826444
Academic,Grade 1 ELA,JMTES,0.3568655935254623
Academic,Grade 1 ELA,JMTES,0.24812105581537056
Academic,Grade 1 ELA,JMTES,0.3809756058574685
Academic,Grade 1 ELA,JMTES,0.4210570777281407
Academic,Grade 1 ELA,JMTES,0.2729577484586141
Academic,Grade 1 ELA,JMTES,0.2586445504211124
Academic,Grade 1 ELA,JMTES,0.4349730575761821
Academic,Grade 1 ELA,JMTES,0.22898665201617566
Academic,Grade 1 ELA,JES,0.25308872319586695
Academic,Grade 1 ELA,JES,0.42137380935760493
Academic,Grade 1 ELA,JES,0.33468183226338716
Academic,Grade 1 ELA,JES,0.3694821764038435
Academic,Grade 1 ELA,JES,0.2710929613431327
Academic,Grade 1 ELA,JES,0.2744344387402927
Academic,Grade 1 ELA,JES,0.2675528873489013
Academic,Grade 1 ELA,JES,0.3161216321093417
Academic,Grade 1 ELA,JES,0.3146696438931803
Academic,Grade 1 ELA,JES,0.34081178069488915
Academic,Grade 1 ELA,JES,0.408388122252566
Academic,Grade 1 ELA,JES,0.23100863345478
Academic,Grade 1 ELA,JES,0.45343945272107916
Academic,Grade 1 ELA,JES,0.1612776550832631
Academic,Grade 1 ELA,JES,0.4102358459093576
Academic,Grade 1 ELA,JES,0.36671865349919264
Academic,Grade 1 ELA,JES,0.435509900851103
Academic,Grade 1 ELA,JES,0.3368271100698285
Academic,Grade 1 ELA,JES,0.5625628878526511
Academic,Grade 1 ELA,JES,0.3627480214599725
Academic,Grade 1 ELA,JES,0.43733400916541565
Academic,Grade 1 ELA,JES,0.40191551936704245
Academic,Grade 1 ELA,JES,0.41198236452584625
Academic,Grade 1 ELA,JES,0.387411664689912
Academic,Grade 1 ELA,JES,0.4198604280083824
Academic,Grade 1 ELA,JES,0.25305403124917525
Academic,Grade 1 ELA,JES,0.38357499533621514
Academic,Grade 1 ELA,JES,0.3181650251899326
Academic,Grade 1 ELA,JES,0.4217483406825232
Academic,Grade 1 ELA,JES,0.3495620209027515
Academic,Grade 1 ELA,JES,0.40791060472568913
Academic,Grade 1 ELA,JES,0.16585256852147282
Academic,Grade 1 ELA,JES,0.2890602999576206
Academic,Grade 1 ELA,JES,0.3740909092506583
Academic,Grade 1 ELA,JES,0.13396045611858196
Academic,Grade 1 ELA,JES,0.1761464329395284
Academic,Grade 1 ELA,JES,0.3627302421475591
Academic,Grade 1 ELA,JES,0.16809651039316834
Academic,Grade 1 ELA,JES,0.47451414739475245
Academic,Grade 1 ELA,JES,0.2455881195406433
Academic,Grade 1 ELA,JES,0.39413712743553203
Academic,Grade 1 ELA,JES,0.39828793531379786
Academic,Grade 1 ELA,JES,0.46810507639164045
Academic,Grade 1 ELA,JES,0.39189070889629524
Academic,Grade 1 ELA,JES,0.2240371994023644
Academic,Grade 1 ELA,JES,0.30063087527435234
Academic,Grade 1 ELA,JES,0.29099933856917803
Academic,Grade 1 ELA,JES,0.23904420821646855
Academic,Grade 1 ELA,JES,0.2888491427559902
Academic,Grade 1 ELA,JES,0.2891018671781628
Academic,Grade 1 ELA,JES,0.2850332561895042
Academic,Grade 1 ELA,JES,0.5270587091175318
Academic,Grade 1 ELA,JES,0.4056870077137721
Academic,Grade 1 ELA,JES,0.280863320083067
Academic,Grade 1 ELA,JES,0.10844676480701718
Academic,Grade 1 ELA,JES,0.24875451692342337
Academic,Grade 1 ELA,JES,0.30656482609431795
Academic,Grade 1 ELA,JES,0.26699817305476214
Academic,Grade 1 ELA,JES,0.2733549275255384
Academic,Grade 1 ELA,JES,0.1709117162836978
Academic,Grade 1 ELA,JES,0.31463006655472897
Academic,Grade 1 ELA,JES,0.4262237885642148
Academic,Grade 1 ELA,JES,0.3861776779034505
Academic,Grade 1 ELA,JES,0.43703136519316915
Academic,Grade 1 ELA,JES,0.4470228587802539
Academic,Grade 1 ELA,JES,0.23498766152490583
Academic,Grade 1 ELA,JES,0.2512782256855067
Academic,Grade 1 ELA,JES,0.18278472529677792
Academic,Grade 1 ELA,JES,0.4406326528080449
Academic,Grade 1 ELA,JES,0.43368171564907354
Academic,Grade 1 ELA,JES,0.3740909092506583
Academic,Grade 1 ELA,JES,0.2625741198981516
Academic,Grade 1 ELA,JES,0.3653138832670826
Academic,Grade 1 ELA,JES,0.4259724691040992
Academic,Grade 1 ELA,JES,0.30208927554300075
Academic,Grade 1 ELA,JES,0.23394332680096078
Academic,Grade 1 ELA,JES,0.37996856254526623
Academic,Grade 1 ELA,JES,0.30986559528260105
Academic,Grade 1 ELA,JES,0.46810507639164045
Academic,Grade 1 ELA,JES,0.3671128016789435
Academic,Grade 1 ELA,JES,0.21433408069267734
Academic,Grade 1 ELA,JES,0.4259724691040992
Academic,Grade 1 ELA,JES,0.35601227715233447
Academic,Grade 1 ELA,JES,0.46336847799299086
Academic,Grade 1 ELA,JES,0.23901821484286045
Academic,Grade 1 ELA,JES,0.3546652301023182
Academic,Grade 1 ELA,JES,0.34613349590678655
Academic,Grade 1 ELA,JES,0.2998878638357797
Academic,Grade 1 ELA,JES,0.29494237552360786
Academic,Grade 1 ELA,JES,0.34609195968460277
Academic,Grade 1 ELA,JES,0.21734776105671097
Academic,Grade 1 ELA,JES,0.46287107909675945
Academic,Grade 1 ELA,JES,0.3269394788173945
Academic,Grade 1 ELA,JES,0.3368271100698285
Academic,Grade 1 ELA,JES,0.32324099637921044
Academic,Grade 1 ELA,JES,0.28049648033347846
