variable,unweighted_smd,weighted_smd,abs_unweighted_smd,abs_weighted_smd
black,0.15015009989996508,1.1792890001738228e-09,0.15015009989996508,1.1792890001738228e-09
meal_status: 05,0.13784269506587918,4.2750054744550403e-10,0.13784269506587918,4.2750054744550403e-10
grade: KF,-0.11771048845088097,2.4315687197683054e-10,0.11771048845088097,2.4315687197683054e-10
entry_code: S,0.10444116215996717,1.0524050733492153e-10,0.10444116215996717,1.0524050733492153e-10
meal_status: 04,-0.10100487382045867,-4.1445546324068997e-10,0.10100487382045867,4.1445546324068997e-10
entry_code: HS,0.09817613873476318,2.8323061887231278e-05,0.09817613873476318,2.8323061887231278e-05
entry_code: D,-0.09442089072996883,-3.4692596594423514e-05,0.09442089072996883,3.4692596594423514e-05
grade: 02,0.08647443278141964,2.5691166257056063e-10,0.08647443278141964,2.5691166257056063e-10
meal_status: 01,-0.0856474741913717,1.9162479851143432e-10,0.0856474741913717,1.9162479851143432e-10
meal_status: 02,0.08455882935821214,1.399791728931002e-10,0.08455882935821214,1.399791728931002e-10
entry_code: R1,-0.07703712157713453,-2.8320829667120582e-05,0.07703712157713453,2.8320829667120582e-05
grade: 05,-0.06576449276917526,-3.41788768563759e-10,0.06576449276917526,3.41788768563759e-10
grade: 03,0.06526590670098627,-1.9846749659540948e-10,0.06526590670098627,1.9846749659540948e-10
entry_code: R,-0.054438238523303636,1.721156490351131e-09,0.054438238523303636,1.721156490351131e-09
grade: 04,0.04519866233022084,-7.295016109778912e-10,0.04519866233022084,7.295016109778912e-10
age,0.04491134711389068,-1.0048145955644698e-09,0.04491134711389068,1.0048145955644698e-09
meal_status: 06,-0.03497852232380755,6.263450600685412e-11,0.03497852232380755,6.263450600685412e-11
female,0.02845468395770716,1.6036241173147104e-10,0.02845468395770716,1.6036241173147104e-10
grade: 01,-0.021484803431241237,8.114020770575344e-10,0.021484803431241237,8.114020770575344e-10
meal_status: 03,-0.016376117335835896,-2.621320210056774e-10,0.016376117335835896,2.621320210056774e-10
entry_code: C,0.008253091006790007,1.765086446902585e-10,0.008253091006790007,1.765086446902585e-10
