school,source_file,source_title,source_report_date,jmtes,student_id,grade,female,gender,black,race_ethnicity,age,meal_status,entry_code,report_school_days,full_school_year_days,unexcused_absences,excused_absences,total_absences,unexcused_pct,excused_pct,total_pct,propensity,overlap_weight
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600409874,KF,1.0,Female,1.0,Black,6.0,05,R,170.0,170.0,13.0,0.0,13.0,7.647058823529412,0.0,7.647058823529412,0.39691961067786735,0.6030803893221326
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600406441,03,1.0,Female,1.0,Black,8.0,06,R,170.0,170.0,4.0,2.0,6.0,2.3529411764705883,1.1764705882352942,3.5294117647058822,0.3757097481410627,0.6242902518589373
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600411408,01,1.0,Female,0.0,NonBlack,7.0,05,R,170.0,170.0,8.0,10.0,18.0,4.705882352941177,5.88235294117647,10.588235294117647,0.3760691717741269,0.6239308282258731
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600412824,KF,0.0,Male,1.0,Black,6.0,04,R,170.0,170.0,19.0,8.0,27.0,11.176470588235295,4.705882352941177,15.88235294117647,0.29540854874670763,0.7045914512532924
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600409929,01,0.0,Male,1.0,Black,7.0,04,R,170.0,170.0,7.0,2.0,9.0,4.117647058823529,1.1764705882352942,5.294117647058823,0.3507984602964308,0.6492015397035692
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600409921,01,1.0,Female,0.0,NonBlack,7.0,03,R,170.0,170.0,9.0,5.0,14.0,5.294117647058823,2.941176470588235,8.235294117647058,0.3163466564037606,0.6836533435962394
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600411584,05,1.0,Female,1.0,Black,11.0,04,R,170.0,170.0,20.0,0.0,20.0,11.76470588235294,0.0,11.76470588235294,0.3311799003694626,0.6688200996305373
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600411406,01,1.0,Female,1.0,Black,6.0,03,R,170.0,170.0,5.0,4.0,9.0,2.941176470588235,2.3529411764705883,5.294117647058823,0.3980491118779511,0.6019508881220489
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600407953,04,1.0,Female,0.0,NonBlack,10.0,05,R,170.0,170.0,8.0,0.0,8.0,4.705882352941177,0.0,4.705882352941177,0.4148067651589952,0.5851932348410047
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600413105,04,1.0,Female,1.0,Black,10.0,03,S,170.0,170.0,9.0,0.0,9.0,5.294117647058823,0.0,5.294117647058823,0.5810886174848567,0.41891138251514326
JMTES,JMTES At Risk Report_Updated 6.15.26 (PW_ #MTE2026).xlsx,Taylor Elementary RTI - at Risk Report,2026-06-15,1.0,600413104,03,1.0,Female,1.0,Black,9.0,03,S,170.0,170.0,9.0,0.0,9.0,5.294117647058823,0.0,5.294117647058823,0.5831132216211706,0.41688677837882937
