grade,student_id,parental_consent,pre_part_A_Q1_response,pre_part_A_Q1_recode,pre_part_A_Q2_response,pre_part_A_Q2_recode,pre_part_A_Q3_response,pre_part_A_Q3_recode,pre_part_A_Q4_response,pre_part_A_Q4_recode,pre_part_B_Q5_response,pre_part_B_Q5_recode,pre_part_B_Q6_response,pre_part_B_Q6_recode,pre_part_B_Q7_response,pre_part_B_Q7_recode,pre_part_B_Q8_response,pre_part_B_Q8_recode,pre_part_B_Q9_response,pre_part_B_Q9_recode,pre_part_B_Q10_response,pre_part_B_Q10_recode,post_part_A_Q1_response,post_part_A_Q1_recode,post_part_A_Q2_response,post_part_A_Q2_recode,post_part_A_Q3_response,post_part_A_Q3_recode,post_part_A_Q4_response,post_part_A_Q4_recode,post_part_B_Q5_response,post_part_B_Q5_recode,post_part_B_Q6_response,post_part_B_Q6_recode,post_part_B_Q7_response,post_part_B_Q7_recode,post_part_B_Q8_response,post_part_B_Q8_recode,post_part_B_Q9_response,post_part_B_Q9_recode,post_part_B_Q10_response,post_part_B_Q10_recode
3,6.00412785E8,Y,5,2,1,0,2,0,1,0,3,0,2,0,1,1,2,0,1,1,1,1,1,0,4,0,4,0,.,.,4,0,1,0,2,0,2,0,.,.,1,1
3,6.00408601E8,Y,1,0,5,2,1,1,5,2,4,0,5,2,3,2,3,1,5,2,2,1,1,0,3,1,1,1,2,1,1,1,3,1,3,2,3,1,1,1,2,1
3,6.00408633E8,Y,1,0,3,1,1,1,2,1,1,1,1,0,1,1,3,1,1,1,2,1,3,0,3,1,1,1,2,1,4,0,2,0,1,1,3,1,5,2,2,1
3,6.0041073E8,Y,1,0,2,0,3,0,2,1,4,0,5,2,1,1,3,1,5,2,2,1,1,0,3,1,2,0,3,0,1,1,1,0,1,1,3,1,2,0,2,1
3,6.00406821E8,Y,3,0,5,2,1,1,2,1,4,0,2,0,1,1,3,1,1,1,2,1,3,0,5,2,4,0,2,1,4,0,5,2,2,0,3,1,.,.,2,1
3,6.00406949E8,Y,3,0,5,2,1,1,2,1,5,2,3,1,1,1,3,1,5,2,3,0,4,0,5,2,1,1,2,1,5,2,5,2,1,1,3,1,5,2,2,1
3,6.0040734E8,Y,3,0,5,2,4,0,2,1,4,0,1,0,1,1,5,2,1,1,5,1,4,0,4,0,1,1,2,1,1,1,5,2,1,1,3,1,4,0,2,1
3,6.00407336E8,Y,4,0,4,0,1,1,2,1,1,1,1,0,3,2,3,1,5,2,2,1,3,0,2,0,1,1,3,0,1,1,3,1,1,1,3,1,1,1,2,1
3,6.00409207E8,Y,4,0,1,0,4,0,2,1,4,0,1,0,2,0,1,0,2,0,2,1,1,0,3,1,1,1,3,0,4,0,3,1,1,1,1,0,3,0,2,1
3,6.00410729E8,Y,5,2,3,1,4,0,2,1,5,2,5,2,1,1,3,1,5,2,1,1,1,0,3,1,2,0,5,2,4,0,2,0,1,1,3,1,5,2,2,1
3,6.00407459E8,Y,1,0,3,1,1,1,2,1,4,0,1,0,1,1,3,1,1,1,5,1,1,0,4,0,1,1,2,1,4,0,1,0,1,1,4,0,1,1,5,1
3,6.00407486E8,Y,1,0,5,2,1,1,5,2,5,2,3,1,2,0,5,2,5,2,3,0,1,0,5,2,1,1,5,2,5,2,5,2,1,1,3,1,5,2,5,1
3,6.00407955E8,Y,1,0,5,2,1,1,2,1,5,2,1,0,2,0,3,1,1,1,3,0,3,0,5,2,4,0,3,0,4,0,3,1,1,1,3,1,5,2,5,1
3,6.00408887E8,Y,1,0,5,2,2,0,2,1,3,0,4,0,1,1,5,2,4,0,1,1,4,0,5,2,1,1,2,1,1,1,5,2,1,1,2,0,3,0,5,1
3,6.004092E8,Y,2,1,4,0,1,1,2,1,4,0,4,0,1,1,3,1,1,1,2,1,3,0,1,0,3,0,2,1,1,1,3,1,1,1,3,1,3,0,5,1
3,6.00406441E8,Y,3,0,5,2,1,1,2,1,1,1,3,1,1,1,3,1,1,1,2,1,3,0,5,2,4,0,3,0,5,2,3,1,1,1,3,1,5,2,5,1
3,6.00407347E8,Y,3,0,4,0,1,1,2,1,1,1,3,1,1,1,3,1,4,0,2,1,3,0,3,1,1,1,3,0,4,0,5,2,1,1,3,1,3,0,5,1
3,6.00411868E8,Y,3,0,5,2,1,1,2,1,5,2,5,2,1,1,3,1,5,2,2,1,5,2,5,2,1,1,2,1,1,1,1,0,1,1,3,1,5,2,5,1
3,6.00406342E8,Y,1,0,1,0,2,0,2,1,1,1,3,1,2,0,3,1,5,2,2,1,3,0,5,2,1,1,2,1,1,1,5,2,1,1,3,1,3,0,.,.
3,6.00407367E8,Y,1,0,5,2,4,0,2,1,5,2,1,0,3,2,2,0,5,2,1,1,5,2,5,2,4,0,1,0,5,2,1,0,1,1,3,1,5,2,.,.
3,6.00408046E8,Y,3,0,2,0,1,1,3,0,1,1,5,2,1,1,3,1,1,1,2,1,2,1,3,1,1,1,5,2,1,1,5,2,1,1,3,1,5,2,6,2
