grade,student_id,parental_consent,at_risk_state_report_id,at_risk_student_grade,at_risk_gender,at_risk_ethnic_name,at_risk_student_age,at_risk_meal_status_code,at_risk_student_status_current,at_risk_entry_date_e_w,at_risk_entry_code_e_w,at_risk_unexcused,at_risk_excused,at_risk_l_1,at_risk_l_2,at_risk_l_3,at_risk_l_4,at_risk_local,at_risk_transportation_1,at_risk_transportation_2,at_risk_transportation_3,at_risk_entry_date,at_risk_enrolled_school_days,at_risk_unexcused_absence_pct_enrolled,at_risk_excused_absence_pct_enrolled,at_risk_total_absence_pct_enrolled,at_risk_school_referral_severity_points_170,at_risk_bus_referral_severity_points_170,at_risk_total_school_referrals_170,at_risk_total_bus_referrals_170,pre_part_A_Q1_response,pre_part_A_Q1_recode,pre_part_A_Q2_response,pre_part_A_Q2_recode,pre_part_A_Q3_response,pre_part_A_Q3_recode,pre_part_A_Q4_response,pre_part_A_Q4_recode,pre_part_A_Q5_response,pre_part_A_Q5_recode,pre_part_B_Q6_response,pre_part_B_Q6_recode,pre_part_B_Q7_response,pre_part_B_Q7_recode,pre_part_B_Q8_response,pre_part_B_Q8_recode,pre_part_B_Q9_response,pre_part_B_Q9_recode,pre_part_B_Q10_response,pre_part_B_Q10_recode,pre_part_B_Q11_response,pre_part_B_Q11_recode,post_part_A_Q1_response,post_part_A_Q1_recode,post_part_A_Q2_response,post_part_A_Q2_recode,post_part_A_Q3_response,post_part_A_Q3_recode,post_part_A_Q4_response,post_part_A_Q4_recode,post_part_A_Q5_response,post_part_A_Q5_recode,post_part_B_Q6_response,post_part_B_Q6_recode,post_part_B_Q7_response,post_part_B_Q7_recode,post_part_B_Q8_response,post_part_B_Q8_recode,post_part_B_Q9_response,post_part_B_Q9_recode,post_part_B_Q10_response,post_part_B_Q10_recode,post_part_B_Q11_response,post_part_B_Q11_recode
4,6.00407919E8,Y,3746081372,04,Male,Black,9,02,A,45887.0,R,8.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,4.705882,0.000000,4.705882,0.000000,0.000000,0.000000,0.000000,2,0,3,0,2,0,1,1,5,2,5,2,1,1,3,1,5,2,5,2,5,1,1,1,1,1,1,0,3,0,2,1,1,1,1,1,3,1,1,1,.,.,5,1
4,6.00408822E8,Y,8842882123,04,Male,NonBlack,10,03,A,45887.0,R,2.0,2.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,1.176471,2.352941,0.000000,0.000000,0.000000,0.000000,2,0,3,0,2,0,3,0,2,1,1,1,2,0,1,0,3,0,4,0,2,1,1,1,3,0,1,0,3,0,2,1,4,0,1,1,3,1,2,0,2,0,1,1
4,6.00408024E8,Y,2170750422,04,Male,Black,11,05,A,45887.0,R,2.0,1.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.588235,1.764706,0.000000,0.000000,0.000000,0.000000,2,0,3,0,3,1,1,1,1,0,1,1,1,1,2,0,5,2,4,0,5,1,2,0,4,0,2,0,1,1,2,1,1,1,1,1,3,1,1,1,2,0,5,1
4,6.00410103E8,Y,1434360337,04,Female,Black,10,04,A,45887.0,R,13.0,4.0,0,0,0,0,0,0,0,0,2025-08-18,170,7.647059,2.352941,10.000000,0.000000,0.000000,0.000000,0.000000,2,0,5,2,2,0,5,2,3,0,1,1,1,1,5,2,5,2,5,2,5,1,1,1,5,2,3,1,1,1,3,0,1,1,1,1,3,1,1,1,5,2,4,0
4,6.0040784E8,Y,1520336105,04,Female,Black,10,05,A,45902.0,R,6.0,3.0,0,0,0,0,0,0,0,0,2025-09-02,160,3.750000,1.875000,5.625000,0.000000,0.000000,0.000000,0.000000,2,0,5,2,3,1,2,0,2,1,3,0,1,1,3,1,5,2,2,0,5,1,1,1,3,0,3,1,2,0,2,1,1,1,1,1,3,1,2,0,3,1,1,1
4,6.00405114E8,Y,2363450677,04,Male,Black,10,04,A,45887.0,R,6.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,3.529412,8.235294,11.764706,11.000000,0.000000,4.000000,0.000000,1,1,3,0,1,0,2,0,2,1,4,0,1,1,3,1,3,0,2,0,5,1,1,1,1,1,1,0,3,0,2,1,4,0,1,1,3,1,3,0,4,0,2,1
4,6.00408026E8,Y,5226446478,04,Male,Black,11,05,A,45887.0,R,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-08-18,170,1.764706,1.176471,2.941176,3.000000,0.000000,1.000000,0.000000,1,1,3,0,1,0,1,1,4,0,4,0,2,0,3,1,2,0,2,0,5,1,1,1,3,0,2,0,4,0,1,0,3,0,1,1,3,1,3,0,4,0,2,1
4,6.00407917E8,Y,1325788223,04,Female,Black,9,02,A,45887.0,R,9.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,5.294118,0.000000,5.294118,0.000000,0.000000,0.000000,0.000000,1,1,3,0,2,0,5,2,2,1,5,2,2,0,5,2,1,1,2,0,5,1,2,0,3,0,1,0,2,0,2,1,5,2,3,2,3,1,5,2,2,0,5,1
4,6.00406332E8,Y,7532463031,04,Female,Black,9,03,A,45887.0,R,2.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,1.176471,0.000000,1.176471,0.000000,0.000000,0.000000,0.000000,1,1,5,2,1,0,1,1,5,2,3,0,1,1,3,1,2,0,1,0,2,1,1,1,4,0,4,0,2,0,3,0,3,0,1,1,2,0,3,0,2,0,1,1
4,6.00410652E8,Y,3506122845,04,Female,Black,10,04,A,45887.0,R,15.0,0.0,0,0,0,0,0,0,0,0,2025-08-18,170,8.823529,0.000000,8.823529,0.000000,0.000000,0.000000,0.000000,1,1,5,2,2,0,1,1,3,0,1,1,1,1,3,1,3,0,2,0,2,1,2,0,3,0,3,1,3,0,3,0,1,1,2,0,3,1,3,0,3,1,2,1
