grade,student_id,parental_consent,pre_part_A_correct,pre_part_B_correct,post_part_A_correct,post_part_B_correct
4,6.00407919E8,Y,1,2,3,4
4,6.00408822E8,Y,1,1,2,3
4,6.00408024E8,Y,2,2,2,4
4,6.00410103E8,Y,0,2,3,4
4,6.0040784E8,Y,2,2,3,5
4,6.00405114E8,Y,2,2,3,2
4,6.00408026E8,Y,2,1,1,2
4,6.00407917E8,Y,2,1,1,1
4,6.00406332E8,Y,2,2,1,2
4,6.00410652E8,Y,2,3,1,3
4,6.00403711E8,Y,3,1,1,2
4,6.00409613E8,Y,3,3,3,2
4,6.00408098E8,Y,1,3,1,4
4,6.00410653E8,Y,1,3,2,4
4,6.00404972E8,Y,3,5,4,3
