Student ID,2025-26 tracker Homeroom,2025-26 tracker Grade,2025-26 tracker OPTED OUT OF GROW,2025-26 tracker Aug-Dec 2025 Incentives Incentive 1- EA Lesson Activities,2025-26 tracker Aug-Dec 2025 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,2025-26 tracker Aug-Dec 2025 Incentives Incentive 3- Met Reading Goal,"2025-26 tracker Aug-Dec 2025 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",2025-26 tracker Aug-Dec 2025 Incentives Incentive 4- Met Behavior Goal,2025-26 tracker Aug-Dec 2025 Incentives Number of days missed this semester,2025-26 tracker Aug-Dec 2025 Incentives Incentive 5- Miss three days or less,2025-26 tracker Aug-Dec 2025 Incentives Teacher Verification,2025-26 tracker Aug-Dec 2025 Incentives Winter 2025 Rewards,2025-26 tracker Jan-May 2026 Incentives Incentive 1- EA Lesson Activities,2025-26 tracker Jan-May 2026 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,2025-26 tracker Jan-May 2026 Incentives Incentive 3- Met Reading Goal,"2025-26 tracker Jan-May 2026 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",2025-26 tracker Jan-May 2026 Incentives Incentive 4- Met Behavior Goal,2025-26 tracker Jan-May 2026 Incentives Number of days missed this semester,2025-26 tracker Jan-May 2026 Incentives Incentive 5- Miss three days or less,2025-26 tracker Jan-May 2026 Incentives Teacher Verification,2025-26 tracker Jan-May 2026 Incentives Spring 2026 Rewards,2025-26 tracker Jan-May 2026 Incentives 2nd semester incentives deposited (5.22.26),2025-26 tracker Jan-May 2026 Incentives 2025-26 Incentive TOTAL,2025-26 tracker 2025-26 tracker source row,Jan-May 2026 tracker Homeroom,Jan-May 2026 tracker Grade,Jan-May 2026 tracker OPTED OUT OF GROW,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 1- EA Lesson Activities,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 2- 1 HR Fin. Literacy Module Online,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 3- Met Reading Goal,"Jan-May 2026 tracker Jan-May 2026 Incentives Number of ""think time"" sheets this semester (2 nine weeks)",Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 4- Met Behavior Goal,Jan-May 2026 tracker Jan-May 2026 Incentives Number of days missed this semester,Jan-May 2026 tracker Jan-May 2026 Incentives Incentive 5- Miss three days or less,Jan-May 2026 tracker Jan-May 2026 Incentives Teacher Verification,Jan-May 2026 tracker Jan-May 2026 Incentives Spring 2026 Rewards,Jan-May 2026 tracker Jan-May 2026 Incentives 2nd semester incentives deposited (5.22.26),Jan-May 2026 tracker Jan-May 2026 tracker source row
600402254,Guy,05-Fifth,,1,1,1,3.0,0,9.0,0,3,300,,,,,,,,,,0.0,300,3,Guy,05-Fifth,,,,,,,,,,,$0.00,3
600403287,Guy,05-Fifth,,1,1,1,2.0,0,0.0,1,3.0,300,,,,,,,,,,0.0,300,4,Guy,05-Fifth,,,,,,,,,,,$0.00,4
600403464,Guy,05-Fifth,,1,1,1,0.0,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,5,Guy,05-Fifth,,,,,,,,,,,$0.00,5
600403647,Guy,05-Fifth,,1,0,1,0.0,1,,0,3,300,,,,,,,,,,0.0,300,6,Guy,05-Fifth,,,,,,,,,,,$0.00,6
600403711,Warren,04-Fourth,,0,0,0,4.0,0,3.0,1,3.0,300,,,,,,,,,,0.0,300,7,Warren,04-Fourth,,,,,,,,,,,$0.00,7
600403765,Guy,05-Fifth,,1,1,1,0.0,1,5.0,0,3.0,300,,,,,,,,,,0.0,300,8,Guy,05-Fifth,,,,,,,,,,,$0.00,8
600403920,Easterling,05-Fifth,,1,1,1,0.0,1,0.0,1,3.0,300,,,,,,,,,,0.0,300,9,Easterling,05-Fifth,,,,,,,,,,,$0.00,9
600404870,Henderson,04-Fourth,,1,0,1,,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,10,Henderson,04-Fourth,,,,,,,,,,,$0.00,10
600404873,Eskridge,04-Fourth,,1,0,0,1.0,1,1.0,1,3,300,,,,,,,,,,0.0,300,11,Eskridge,04-Fourth,,,,,,,,,,,$0.00,11
600404972,Warren,04-Fourth,,1,0,1,0.0,1,5.0,0,3,300,,,,,,,,,,0.0,300,12,Warren,04-Fourth,,,,,,,,,,,$0.00,12
600404981,Guy,05-Fifth,,1,1,1,0.0,0,0.0,1,3.0,300.0,,,,,,,,,,0.0,300,13,Guy,05-Fifth,,,,,,,,,,,$0.00,13
600405055,Easterling,05-Fifth,,1,1,1,1.0,0,15.0,0,3.0,300,,,,,,,,,,0.0,300,14,Easterling,05-Fifth,,,,,,,,,,,$0.00,14
600405076,Easterling,05-Fifth,,1,1,1,0.0,1,2.0,1,3.0,300,,,,,,,,,,0.0,300,15,Easterling,05-Fifth,,,,,,,,,,,$0.00,15
600405083,Guy,05-Fifth,,1,1,1,1.0,1,4.0,0,3.0,300,,,,,,,,,,0.0,300,16,Guy,05-Fifth,,,,,,,,,,,$0.00,16
600405112,Henderson,04-Fourth,,1,0,0,2.0,1,6.0,0,2,200,1,0,1,4.0,0,,0,1.0,100,100.0,300,17,Henderson,04-Fourth,,1,0,1,4,0,,0,1,$100.00,$100.00,17
