subject,wave,school,n,mean,sd,se
ELA,Summer 2025,JES,102,1037.9705882352941,25.96206519816025,2.57062750665586
ELA,Summer 2025,JMTES,49,1045.2448979591836,21.854185918877665,3.1220265598396666
ELA,Winter 2025,JES,110,1048.2636363636364,18.68359299508542,1.7814106953504956
ELA,Winter 2025,JMTES,57,1048.122807017544,14.279193373875197,1.8913253656486468
ELA,Summer 2026,JES,113,1053.6814159292035,20.05539893765947,1.886653230441449
ELA,Summer 2026,JMTES,59,1057.322033898305,11.724481722191541,1.526397507226691
Math,Summer 2025,JES,102,1052.1274509803923,20.526086550575872,2.032385416497926
Math,Summer 2025,JMTES,49,1052.061224489796,16.87874423062098,2.4112491758029972
Math,Winter 2025,JES,110,1045.2272727272727,16.204914358751754,1.5450779602998526
Math,Winter 2025,JMTES,56,1044.1785714285713,15.984204865891991,2.135979221720455
Math,Summer 2026,JES,112,1053.6339285714287,19.113221467814757,1.806029669897813
Math,Summer 2026,JMTES,59,1052.2203389830509,15.529802046621432,2.021808016197414
