school,treatment,grade,teacher,student_id,subject,wave,score
JMTES,1,3,Taylor,6600165772,ELA,Summer 2025,1074.0
JMTES,1,3,Taylor,6600165772,ELA,Fall 2025,1060.0
JMTES,1,3,Taylor,6600165772,ELA,Winter 2025,1067.0
JMTES,1,3,Taylor,6600165772,ELA,Summer 2026,1066.0
JMTES,1,3,Taylor,6600165772,Math,Summer 2025,1055.0
JMTES,1,3,Taylor,6600165772,Math,Fall 2025,1031.0
JMTES,1,3,Taylor,6600165772,Math,Winter 2025,1041.0
JMTES,1,3,Taylor,6600165772,Math,Summer 2026,1056.0
JMTES,1,3,Taylor,6600165772,Science,Fall 2025,1042.0
JMTES,1,3,Taylor,6600165772,Science,Winter 2025,1058.0
JMTES,1,3,Taylor,6600165772,Science,Summer 2026,1061.0
JMTES,1,3,Lovell,3205176723,ELA,Winter 2025,1037.0
JMTES,1,3,Lovell,3205176723,ELA,Summer 2026,1051.0
JMTES,1,3,Lovell,3205176723,Math,Summer 2026,1049.0
JMTES,1,3,Lovell,3205176723,Science,Summer 2026,1043.0
JMTES,1,3,Lovell,2355174088,ELA,Summer 2025,1051.0
JMTES,1,3,Lovell,2355174088,ELA,Fall 2025,1043.0
JMTES,1,3,Lovell,2355174088,ELA,Winter 2025,1040.0
JMTES,1,3,Lovell,2355174088,ELA,Summer 2026,1040.0
JMTES,1,3,Lovell,2355174088,Math,Summer 2025,1049.0
JMTES,1,3,Lovell,2355174088,Math,Fall 2025,1034.0
JMTES,1,3,Lovell,2355174088,Math,Winter 2025,1027.0
JMTES,1,3,Lovell,2355174088,Math,Summer 2026,1036.0
JMTES,1,3,Lovell,2355174088,Science,Fall 2025,1034.0
JMTES,1,3,Lovell,2355174088,Science,Winter 2025,1052.0
JMTES,1,3,Lovell,2355174088,Science,Summer 2026,1037.0
JMTES,1,3,Gulley,5674543883,ELA,Summer 2025,1053.0
JMTES,1,3,Gulley,5674543883,ELA,Fall 2025,1047.0
JMTES,1,3,Gulley,5674543883,ELA,Winter 2025,1053.0
JMTES,1,3,Gulley,5674543883,ELA,Summer 2026,1070.0
JMTES,1,3,Gulley,5674543883,Math,Summer 2025,1061.0
JMTES,1,3,Gulley,5674543883,Math,Fall 2025,1039.0
JMTES,1,3,Gulley,5674543883,Math,Winter 2025,1039.0
JMTES,1,3,Gulley,5674543883,Math,Summer 2026,1060.0
JMTES,1,3,Gulley,5674543883,Science,Fall 2025,1055.0
JMTES,1,3,Gulley,5674543883,Science,Winter 2025,1070.0
JMTES,1,3,Gulley,5674543883,Science,Summer 2026,1073.0
JMTES,1,3,Taylor,3802435133,ELA,Summer 2025,1044.0
JMTES,1,3,Taylor,3802435133,ELA,Fall 2025,1017.0
JMTES,1,3,Taylor,3802435133,ELA,Winter 2025,1043.0
JMTES,1,3,Taylor,3802435133,ELA,Summer 2026,1042.0
JMTES,1,3,Taylor,3802435133,Math,Summer 2025,1030.0
JMTES,1,3,Taylor,3802435133,Math,Fall 2025,1021.0
JMTES,1,3,Taylor,3802435133,Math,Winter 2025,1037.0
JMTES,1,3,Taylor,3802435133,Math,Summer 2026,1043.0
JMTES,1,3,Taylor,3802435133,Science,Fall 2025,1021.0
JMTES,1,3,Taylor,3802435133,Science,Winter 2025,1057.0
JMTES,1,3,Taylor,3802435133,Science,Summer 2026,1052.0
JMTES,1,3,Gulley,5463031262,ELA,Summer 2025,1051.0
JMTES,1,3,Gulley,5463031262,ELA,Fall 2025,1039.0
JMTES,1,3,Gulley,5463031262,ELA,Winter 2025,1048.0
JMTES,1,3,Gulley,5463031262,ELA,Summer 2026,1045.0
JMTES,1,3,Gulley,5463031262,Math,Summer 2025,1044.0
JMTES,1,3,Gulley,5463031262,Math,Fall 2025,1024.0
JMTES,1,3,Gulley,5463031262,Math,Winter 2025,1024.0
JMTES,1,3,Gulley,5463031262,Math,Summer 2026,1035.0
JMTES,1,3,Gulley,5463031262,Science,Fall 2025,1025.0
JMTES,1,3,Gulley,5463031262,Science,Winter 2025,1047.0
JMTES,1,3,Gulley,5463031262,Science,Summer 2026,1041.0
JMTES,1,3,Gulley,2061885051,ELA,Summer 2025,1036.0
JMTES,1,3,Gulley,2061885051,ELA,Fall 2025,1035.0
JMTES,1,3,Gulley,2061885051,ELA,Winter 2025,1036.0
JMTES,1,3,Gulley,2061885051,ELA,Summer 2026,1036.0
JMTES,1,3,Gulley,2061885051,Math,Summer 2025,1043.0
JMTES,1,3,Gulley,2061885051,Math,Fall 2025,1022.0
JMTES,1,3,Gulley,2061885051,Math,Winter 2025,1039.0
JMTES,1,3,Gulley,2061885051,Math,Summer 2026,1040.0
JMTES,1,3,Gulley,2061885051,Science,Fall 2025,1024.0
JMTES,1,3,Gulley,2061885051,Science,Winter 2025,1031.0
JMTES,1,3,Gulley,2061885051,Science,Summer 2026,1040.0
JMTES,1,3,Gulley,4063048811,ELA,Summer 2025,1054.0
JMTES,1,3,Gulley,4063048811,ELA,Fall 2025,1039.0
JMTES,1,3,Gulley,4063048811,ELA,Winter 2025,1057.0
JMTES,1,3,Gulley,4063048811,ELA,Summer 2026,1059.0
JMTES,1,3,Gulley,4063048811,Math,Summer 2025,1043.0
JMTES,1,3,Gulley,4063048811,Math,Fall 2025,1026.0
JMTES,1,3,Gulley,4063048811,Math,Winter 2025,1046.0
JMTES,1,3,Gulley,4063048811,Math,Summer 2026,1055.0
JMTES,1,3,Gulley,4063048811,Science,Fall 2025,1026.0
JMTES,1,3,Gulley,4063048811,Science,Winter 2025,1053.0
JMTES,1,3,Gulley,4063048811,Science,Summer 2026,1054.0
JMTES,1,3,Gulley,5782448224,ELA,Summer 2025,1058.0
JMTES,1,3,Gulley,5782448224,ELA,Fall 2025,1073.0
JMTES,1,3,Gulley,5782448224,ELA,Winter 2025,1066.0
JMTES,1,3,Gulley,5782448224,ELA,Summer 2026,1085.0
JMTES,1,3,Gulley,5782448224,Math,Summer 2025,1060.0
JMTES,1,3,Gulley,5782448224,Math,Fall 2025,1042.0
JMTES,1,3,Gulley,5782448224,Math,Winter 2025,1055.0
JMTES,1,3,Gulley,5782448224,Math,Summer 2026,1072.0
JMTES,1,3,Gulley,5782448224,Science,Fall 2025,1053.0
JMTES,1,3,Gulley,5782448224,Science,Winter 2025,1073.0
JMTES,1,3,Gulley,5782448224,Science,Summer 2026,1068.0
JMTES,1,3,Moss,7447231518,ELA,Summer 2025,1060.0
JMTES,1,3,Moss,7447231518,ELA,Fall 2025,1043.0
JMTES,1,3,Moss,7447231518,ELA,Winter 2025,1047.0
JMTES,1,3,Moss,7447231518,ELA,Summer 2026,1050.0
JMTES,1,3,Moss,7447231518,Math,Summer 2025,1058.0
JMTES,1,3,Moss,7447231518,Math,Fall 2025,1036.0
JMTES,1,3,Moss,7447231518,Math,Winter 2025,1037.0
JMTES,1,3,Moss,7447231518,Math,Summer 2026,1050.0
JMTES,1,3,Moss,7447231518,Science,Fall 2025,1034.0
JMTES,1,3,Moss,7447231518,Science,Winter 2025,1048.0
JMTES,1,3,Moss,7447231518,Science,Summer 2026,1058.0
JMTES,1,3,Gulley,5362531826,ELA,Summer 2025,1043.0
JMTES,1,3,Gulley,5362531826,ELA,Fall 2025,1040.0
JMTES,1,3,Gulley,5362531826,ELA,Winter 2025,1054.0
JMTES,1,3,Gulley,5362531826,ELA,Summer 2026,1047.0
JMTES,1,3,Gulley,5362531826,Math,Summer 2025,1050.0
JMTES,1,3,Gulley,5362531826,Math,Fall 2025,1031.0
JMTES,1,3,Gulley,5362531826,Math,Winter 2025,1056.0
JMTES,1,3,Gulley,5362531826,Math,Summer 2026,1050.0
JMTES,1,3,Gulley,5362531826,Science,Fall 2025,1045.0
JMTES,1,3,Gulley,5362531826,Science,Winter 2025,1049.0
JMTES,1,3,Gulley,5362531826,Science,Summer 2026,1055.0
JMTES,1,3,Lovell,2388064161,ELA,Fall 2025,1046.0
JMTES,1,3,Lovell,2388064161,ELA,Winter 2025,1043.0
JMTES,1,3,Lovell,2388064161,ELA,Summer 2026,1049.0
JMTES,1,3,Lovell,2388064161,Math,Fall 2025,1033.0
