Grade,ID Number,ELA Sum 2024,ELA Sum 2025,ELA Winter 2025,ELA Sum 2026,Math Sum 2024,Math Sum 2025,Math Fall 2025,Math Winter 2025,Math Sum 2026,Science Sum 2025,Science Winter 2025,Science Sum 2026,At Risk - Student Id,At Risk - State Report Id,At Risk - Student Grade,At Risk - Gender,At Risk - Ethnic Name,At Risk - Student Age,At Risk - Meal Status Code,At Risk - Student Status Current,At Risk - Entry Date - E/W,At Risk - Entry Code - E/W,At Risk - Unexcused,At Risk - Excused,At Risk - L-1,At Risk - L-2,At Risk - L-3,At Risk - L-4,At Risk - Local,At Risk - Transportation 1,At Risk - Transportation 2,At Risk - Transportation 3
,8234274344,,,,,,,,,,,,,600411840,8234274344,05,Male,Black,11,04,A,45888,R,0,0,0,0,0,0,0,0,0,0
5th,2235183678,1039,1033,1030,1036,1041,1046,,1055,1050,1038,1055,1049,600413199,2235183678,05,Male,NonBlack,11,03,A,46115,C,1,0,0,0,0,0,0,0,0,0
5th,4345435652,1038,1027,1043,1044,1030,1038,1032,1040,1042,1037,1036,1047,600410859,4345435652,05,Female,Black,11,04,A,45887,R,17,0,0,0,1,0,0,0,0,0
5th,5002041617,1054,1054,1050,1048,1062,1077,1074,1061,1080,1079,1064,1077,600402601,5002041617,05,Male,NonBlack,12,05,A,45887,R,11,0,0,0,0,0,0,0,0,0
5th,7515347017,1043,1044,1046,1048,1024,1041,1039,1046,1045,1043,1044,1037,600408885,7515347017,05,Female,Black,11,01,A,45887,R,11,0,0,0,0,0,0,0,0,0
5th,1255451357,1070,1066,1067,1073,1062,1066,1043,1055,1064,1062,1052,1065,600410833,1255451357,05,Male,Black,11,05,A,45887,R,3,0,0,0,0,0,0,0,0,0
5th,7317036114,1042,1039,1039,1041,1044,1049,1039,1036,1036,1034,1032,1034,600410554,7317036114,05,Female,Black,12,01,A,45887,R,24,0,1,1,1,0,0,0,0,0
5th,7452322727,1055,1043,1052,1056,1052,1042,1050,1047,1052,1037,1044,1038,600406213,7452322727,05,Female,Black,11,05,A,45887,R,6,0,0,0,0,0,0,0,0,0
5th,1635838636,,1040,1036,1049,,1044,1037,1010,1033,1042,1034,1033,600411888,1635838636,05,Female,Black,10,01,A,45887,R,8,0,0,0,0,0,0,0,0,0
5th,1340741808,1049,1042,1049,1038,1055,1044,1061,1023,1039,1034,1032,1037,600403574,1340741808,05,Male,Black,11,05,A,45887,R,21,0,0,0,0,0,0,0,0,0
5th,1300550405,1062,1070,1063,1067,1058,1057,1061,1054,1064,1067,1055,1061,600410672,1300550405,05,Female,NonBlack,11,05,A,45887,R,35,1,0,0,0,0,0,0,0,0
5th,7374672754,,,1078,1082,,,1058,1064,1060,,1052,1065,600412260,7374672754,05,Female,Black,11,04,A,45887,R,8,2,0,0,0,0,0,0,0,0
