school,treatment,subject,wave,n,mean_score,sd_score,se_score
JES,0,ELA,Summer 2025,92,1041.6630434782608,12.514850232812904,1.3047633316535143
JMTES,1,ELA,Summer 2025,34,1055.8823529411766,15.163282418059739,2.6004814808135253
JMTES,1,ELA,Fall 2025,44,1045.7045454545455,15.98193681753705,2.4093676294062303
JES,0,ELA,Winter 2025,92,1041.4782608695652,15.231891255779846,1.5880344400900077
JMTES,1,ELA,Winter 2025,51,1046.862745098039,14.793268209348653,2.071471885123562
JES,0,ELA,Summer 2026,98,1045.1632653061224,12.185587124047533,1.230930184021927
JMTES,1,ELA,Summer 2026,52,1050.576923076923,15.003720001263678,2.0806416072023395
JES,0,Math,Summer 2025,91,1038.4285714285713,15.805162909732205,1.6568312620191945
JMTES,1,Math,Summer 2025,34,1052.3823529411766,18.124175560572283,3.1082704655125832
JES,0,Math,Fall 2025,87,1037.2298850574712,15.788353927945638,1.6926892150606052
JMTES,1,Math,Fall 2025,48,1038.2708333333333,17.10510634636825,2.4689094383982213
JES,0,Math,Winter 2025,95,1034.621052631579,18.264125368490106,1.8738597247840139
JMTES,1,Math,Winter 2025,51,1043.3725490196077,20.798039123257485,2.9123079971132824
JES,0,Math,Summer 2026,98,1040.3775510204082,16.66561080882998,1.6834809165056432
JMTES,1,Math,Summer 2026,52,1046.1346153846155,20.783693500805985,2.882179715795525
JES,0,Science,Summer 2025,92,1041.4021739130435,11.795938752229302,1.2298116285871175
JMTES,1,Science,Summer 2025,34,1054.6764705882354,15.391301337533,2.639586402888913
JMTES,1,Science,Fall 2025,46,1046.1739130434783,11.808291527239263,1.7410376016234546
JES,0,Science,Winter 2025,93,1042.1290322580646,9.581714703642119,0.993577530036513
JMTES,1,Science,Winter 2025,51,1048.4313725490197,12.893804561820819,1.8054937735267191
JES,0,Science,Summer 2026,98,1042.5510204081634,11.631917030025345,1.1750010585900297
JMTES,1,Science,Summer 2026,52,1052.9807692307693,14.996065346192314,2.0795800975348087
