school,treatment,student_id,teacher,subject,wave,score
JMTES,1,1281335277,Helena,ELA,Winter 2025,1023.0
JMTES,1,1281335277,Helena,ELA,Summer 2026,1024.0
JMTES,1,1281335277,Helena,Math,Winter 2025,1015.0
JMTES,1,1281335277,Helena,Math,Summer 2026,1031.0
JMTES,1,8545380815,Couch,ELA,Winter 2025,1068.0
JMTES,1,8545380815,Couch,ELA,Summer 2026,1070.0
JMTES,1,8545380815,Couch,Math,Winter 2025,1064.0
JMTES,1,8545380815,Couch,Math,Summer 2026,1074.0
JMTES,1,7870480881,Daniel,ELA,Winter 2025,1051.0
JMTES,1,7870480881,Daniel,ELA,Summer 2026,1056.0
JMTES,1,7870480881,Daniel,Math,Winter 2025,1039.0
JMTES,1,7870480881,Daniel,Math,Summer 2026,1037.0
JMTES,1,3368668841,Daniel,ELA,Winter 2025,1034.0
JMTES,1,3368668841,Daniel,ELA,Summer 2026,1048.0
JMTES,1,3368668841,Daniel,Math,Winter 2025,1033.0
JMTES,1,3368668841,Daniel,Math,Summer 2026,1041.0
JMTES,1,2164761671,Helena,ELA,Winter 2025,1050.0
JMTES,1,2164761671,Helena,ELA,Summer 2026,1062.0
JMTES,1,2164761671,Helena,Math,Winter 2025,1046.0
JMTES,1,2164761671,Helena,Math,Summer 2026,1045.0
JMTES,1,5016305857,Couch,ELA,Winter 2025,1049.0
JMTES,1,5016305857,Couch,ELA,Summer 2026,1059.0
JMTES,1,5016305857,Couch,Math,Winter 2025,1054.0
JMTES,1,5016305857,Couch,Math,Summer 2026,1067.0
JMTES,1,1571820886,Couch,ELA,Winter 2025,1054.0
JMTES,1,1571820886,Couch,ELA,Summer 2026,1064.0
JMTES,1,1571820886,Couch,Math,Winter 2025,1044.0
JMTES,1,1571820886,Couch,Math,Summer 2026,1063.0
JMTES,1,4642137608,Daniel,ELA,Winter 2025,1063.0
JMTES,1,4642137608,Daniel,ELA,Summer 2026,1071.0
JMTES,1,4642137608,Daniel,Math,Winter 2025,1060.0
JMTES,1,4642137608,Daniel,Math,Summer 2026,1072.0
JMTES,1,5516757531,Helena,ELA,Summer 2026,1040.0
JMTES,1,5516757531,Helena,Math,Summer 2026,1047.0
JMTES,1,4623230243,Couch,ELA,Winter 2025,1030.0
JMTES,1,4623230243,Couch,ELA,Summer 2026,1047.0
JMTES,1,4623230243,Couch,Math,Winter 2025,1019.0
JMTES,1,4623230243,Couch,Math,Summer 2026,1041.0
JMTES,1,7115522582,Couch,ELA,Winter 2025,1059.0
JMTES,1,7115522582,Couch,ELA,Summer 2026,1066.0
JMTES,1,7115522582,Couch,Math,Winter 2025,1038.0
JMTES,1,7115522582,Couch,Math,Summer 2026,1052.0
JMTES,1,2823857728,Helena,ELA,Winter 2025,1063.0
JMTES,1,2823857728,Helena,ELA,Summer 2026,1070.0
JMTES,1,2823857728,Helena,Math,Winter 2025,1044.0
JMTES,1,2823857728,Helena,Math,Summer 2026,1064.0
JMTES,1,6265846142,Daniel,ELA,Summer 2026,1057.0
JMTES,1,6265846142,Daniel,Math,Summer 2026,1053.0
JMTES,1,7847462433,Couch,ELA,Winter 2025,1024.0
JMTES,1,7847462433,Couch,ELA,Summer 2026,1023.0
JMTES,1,7847462433,Couch,Math,Winter 2025,1028.0
JMTES,1,7847462433,Couch,Math,Summer 2026,1028.0
JMTES,1,2075503182,Daniel,ELA,Winter 2025,1066.0
JMTES,1,2075503182,Daniel,ELA,Summer 2026,1072.0
JMTES,1,2075503182,Daniel,Math,Winter 2025,1051.0
JMTES,1,2075503182,Daniel,Math,Summer 2026,1060.0
JMTES,1,5126383372,Helena,ELA,Winter 2025,1059.0
JMTES,1,5126383372,Helena,ELA,Summer 2026,1073.0
JMTES,1,5126383372,Helena,Math,Winter 2025,1061.0
JMTES,1,5126383372,Helena,Math,Summer 2026,1084.0
JMTES,1,7454881042,Daniel,ELA,Winter 2025,1033.0
JMTES,1,7454881042,Daniel,ELA,Summer 2026,1048.0
JMTES,1,7454881042,Daniel,Math,Winter 2025,1018.0
JMTES,1,7454881042,Daniel,Math,Summer 2026,1019.0
JMTES,1,8532567423,Daniel,ELA,Winter 2025,1047.0
JMTES,1,8532567423,Daniel,ELA,Summer 2026,1063.0
JMTES,1,8532567423,Daniel,Math,Winter 2025,1047.0
JMTES,1,8532567423,Daniel,Math,Summer 2026,1070.0
JMTES,1,5413244554,Helena,ELA,Winter 2025,1067.0
JMTES,1,5413244554,Helena,ELA,Summer 2026,1074.0
JMTES,1,5413244554,Helena,Math,Winter 2025,1080.0
JMTES,1,5413244554,Helena,Math,Summer 2026,1108.0
JMTES,1,6060263806,Daniel,ELA,Winter 2025,1060.0
JMTES,1,6060263806,Daniel,ELA,Summer 2026,1069.0
JMTES,1,6060263806,Daniel,Math,Winter 2025,1054.0
JMTES,1,6060263806,Daniel,Math,Summer 2026,1063.0
JMTES,1,1401234515,Helena,ELA,Winter 2025,1063.0
JMTES,1,1401234515,Helena,ELA,Summer 2026,1072.0
JMTES,1,1401234515,Helena,Math,Winter 2025,1065.0
JMTES,1,1401234515,Helena,Math,Summer 2026,1054.0
JMTES,1,8257212275,Helena,ELA,Winter 2025,1049.0
JMTES,1,8257212275,Helena,ELA,Summer 2026,1056.0
JMTES,1,8257212275,Helena,Math,Winter 2025,1041.0
JMTES,1,8257212275,Helena,Math,Summer 2026,1049.0
JMTES,1,5502486531,Couch,ELA,Winter 2025,1061.0
JMTES,1,5502486531,Couch,ELA,Summer 2026,1067.0
JMTES,1,5502486531,Couch,Math,Winter 2025,1061.0
JMTES,1,5502486531,Couch,Math,Summer 2026,1067.0
JMTES,1,3105132411,Daniel,ELA,Winter 2025,1043.0
JMTES,1,3105132411,Daniel,ELA,Summer 2026,1063.0
JMTES,1,3105132411,Daniel,Math,Winter 2025,1035.0
JMTES,1,3105132411,Daniel,Math,Summer 2026,1049.0
JMTES,1,8168157341,Couch,ELA,Winter 2025,1047.0
JMTES,1,8168157341,Couch,ELA,Summer 2026,1061.0
JMTES,1,8168157341,Couch,Math,Winter 2025,1043.0
JMTES,1,8168157341,Couch,Math,Summer 2026,1054.0
JMTES,1,3503322076,Helena,ELA,Winter 2025,1065.0
JMTES,1,3503322076,Helena,ELA,Summer 2026,1069.0
JMTES,1,3503322076,Helena,Math,Winter 2025,1065.0
JMTES,1,3503322076,Helena,Math,Summer 2026,1085.0
JMTES,1,3316787216,Couch,ELA,Winter 2025,1068.0
JMTES,1,3316787216,Couch,ELA,Summer 2026,1074.0
JMTES,1,3316787216,Couch,Math,Winter 2025,1057.0
JMTES,1,3316787216,Couch,Math,Summer 2026,1068.0
JMTES,1,8346731262,Helena,ELA,Winter 2025,1040.0
JMTES,1,8346731262,Helena,ELA,Summer 2026,1055.0
