subject,wave,school,n,mean,sd,se
ELA,Summer 2025,JES,55,1052.909090909091,18.86626690514122,2.543926910528205
ELA,Winter 2025,JES,114,1045.640350877193,20.38615146508069,1.9093380214949938
ELA,Winter 2025,JMTES,52,1049.9615384615386,16.065993239236644,2.2279524005894427
ELA,Summer 2026,JES,126,1057.7380952380952,15.711488062652027,1.3996906039722037
ELA,Summer 2026,JMTES,54,1059.3703703703704,12.203148830104121,1.6606382160553657
Math,Summer 2025,JES,53,1051.754716981132,19.42035575644333,2.6675910187892247
Math,Winter 2025,JES,111,1049.063063063063,17.465435621290453,1.6577457869248349
Math,Winter 2025,JMTES,52,1046.2884615384614,13.660213500558644,1.894330777309601
Math,Summer 2026,JES,126,1057.047619047619,18.926746003624455,1.6861285474298957
Math,Summer 2026,JMTES,54,1058.0185185185185,16.755163372841043,2.280088934468363
