school,student_id,state_report_id,student_grade,gender,ethnic_name,student_age,meal_status_code,student_status_current,entry_date,entry_code,unexcused,excused,unexcused_absence_pct,excused_absence_pct,total_absence_pct,school_l1_referrals,school_l2_referrals,school_l3_referrals,school_l4_referrals,total_school_referrals,bus_l1_referrals,bus_l2_referrals,bus_l3_referrals,total_bus_referrals
JMTES,600409874,1281335277,KF,Female,Black,6,05,A,45887.0,R,13.0,0.0,7.647058823529412,0.0,7.647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600406441,6600165772,03,Female,Black,8,06,A,45887.0,R,4.0,2.0,2.3529411764705883,1.1764705882352942,3.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411408,5326642037,01,Female,NonBlack,7,05,A,45887.0,R,8.0,10.0,4.705882352941177,5.88235294117647,10.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600412824,8545380815,KF,Male,Black,6,04,A,45895.0,R,19.0,8.0,11.176470588235295,4.705882352941177,15.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600409929,3284403584,01,Male,Black,7,04,A,45887.0,R,7.0,2.0,4.117647058823529,1.1764705882352942,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JMTES,600409921,6381311052,01,Female,NonBlack,7,03,A,45887.0,R,9.0,5.0,5.294117647058823,2.941176470588235,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411584,5620020550,05,Female,Black,11,04,A,45887.0,R,20.0,0.0,11.76470588235294,0.0,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411406,1635064503,01,Female,Black,6,03,A,45887.0,R,5.0,4.0,2.941176470588235,2.3529411764705883,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600407953,1162006831,04,Female,NonBlack,10,05,A,45887.0,R,8.0,0.0,4.705882352941177,0.0,4.705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600413105,3305415077,04,Female,Black,10,03,A,46059.0,S,9.0,0.0,5.294117647058823,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600413104,3205176723,03,Female,Black,9,03,A,46059.0,S,9.0,0.0,5.294117647058823,0.0,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600406689,6685286523,05,Male,Black,11,03,A,45887.0,R,18.0,0.0,10.588235294117647,0.0,10.588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600412610,2060264648,02,Female,Black,7,03,A,45887.0,S,22.0,3.0,12.941176470588237,1.7647058823529411,14.705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600406949,2355174088,03,Male,NonBlack,9,05,A,45887.0,R,10.0,10.0,5.88235294117647,5.88235294117647,11.76470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408602,5674543883,03,Male,NonBlack,8,05,A,45887.0,R,3.0,23.0,1.7647058823529411,13.529411764705882,15.294117647058824,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JMTES,600405562,2318871368,04,Female,NonBlack,10,05,A,45887.0,R,17.0,8.0,10.0,4.705882352941177,14.705882352941178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600406322,7188445256,04,Female,NonBlack,10,05,A,45887.0,R,10.0,4.0,5.88235294117647,2.3529411764705883,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411674,7832767082,01,Female,Black,7,04,A,45887.0,R,14.0,3.0,8.235294117647058,1.7647058823529411,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600412517,3810624845,04,Male,Black,10,05,A,45887.0,C,20.0,10.0,11.76470588235294,5.88235294117647,17.647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408958,3802435133,03,Female,NonBlack,9,04,A,45887.0,R,10.0,6.0,5.88235294117647,3.5294117647058822,9.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408041,5211015278,04,Female,Black,9,05,A,45887.0,R,16.0,0.0,9.411764705882353,0.0,9.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600409876,7870480881,KF,Female,Black,5,04,A,45924.0,R,27.0,0.0,15.88235294117647,0.0,15.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600410311,8653416636,02,Male,NonBlack,8,05,A,45887.0,R,7.0,2.0,4.117647058823529,1.1764705882352942,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600412771,3368668841,KF,Female,NonBlack,7,03,A,45887.0,R,10.0,3.0,5.88235294117647,1.7647058823529411,7.647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600410595,4541813503,02,Male,NonBlack,9,05,A,45887.0,R,3.0,7.0,1.7647058823529411,4.117647058823529,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600410517,2201375476,02,Female,Black,8,04,A,45887.0,R,8.0,1.0,4.705882352941177,0.5882352941176471,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600410407,6483447485,01,Female,Black,7,04,A,45902.0,R,13.0,3.0,7.647058823529412,1.7647058823529411,9.411764705882353,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
JMTES,600409200,5463031262,03,Female,Black,8,04,A,45887.0,R,13.0,1.0,7.647058823529412,0.5882352941176471,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600412149,2164761671,KF,Female,Black,5,04,A,45887.0,R,11.0,3.0,6.470588235294119,1.7647058823529411,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600404981,6825213355,05,Female,Black,11,05,A,45887.0,R,4.0,2.0,2.3529411764705883,1.1764705882352942,3.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JMTES,600408749,2676583852,02,Female,Black,8,04,A,45887.0,R,7.0,1.0,4.117647058823529,0.5882352941176471,4.705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600409877,5016305857,KF,Female,Black,6,05,A,45887.0,R,23.0,0.0,13.529411764705882,0.0,13.529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411363,2146268416,04,Male,Black,10,04,A,45887.0,R,17.0,2.0,10.0,1.1764705882352942,11.176470588235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411361,2061885051,03,Female,Black,9,04,A,45887.0,R,35.0,1.0,20.588235294117645,0.5882352941176471,21.176470588235293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600410503,4413825038,02,Male,Black,8,04,A,45887.0,R,3.0,0.0,1.7647058823529411,0.0,1.7647058823529411,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
JMTES,600409309,4063048811,03,Female,Black,9,04,A,45887.0,R,3.0,0.0,1.7647058823529411,0.0,1.7647058823529411,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
JMTES,600408350,6844606373,04,Female,Black,10,04,A,45887.0,R,10.0,2.0,5.88235294117647,1.1764705882352942,7.0588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600413144,4478085124,01,Male,Black,8,03,A,46112.0,R,14.0,0.0,8.235294117647058,0.0,8.235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408289,5506771466,04,Male,NonBlack,10,01,A,45887.0,R,3.0,0.0,1.7647058823529411,0.0,1.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600409340,4841882422,03,Male,NonBlack,9,02,A,45887.0,R,14.0,1.0,8.235294117647058,0.5882352941176471,8.823529411764707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600411916,8637245764,02,Male,NonBlack,8,03,A,45887.0,R,8.0,30.0,4.705882352941177,17.647058823529413,22.35294117647059,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
JMTES,600409019,1453635244,01,Female,Black,7,01,A,45887.0,R,16.0,4.0,9.411764705882353,2.3529411764705883,11.76470588235294,0.0,5.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0
JMTES,600410405,1571820886,KF,Male,Black,6,01,A,45887.0,R,10.0,2.0,5.88235294117647,1.1764705882352942,7.0588235294117645,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
JMTES,600413217,3780233641,01,Female,Black,7,03,A,46127.0,C,4.0,2.0,2.3529411764705883,1.1764705882352942,3.5294117647058822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408738,5225585744,01,Male,Black,7,05,A,45887.0,R,10.0,1.0,5.88235294117647,0.5882352941176471,6.470588235294119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408795,6802548577,02,Male,Black,9,01,A,45887.0,R,8.0,1.0,4.705882352941177,0.5882352941176471,5.294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMTES,600408506,3548347485,01,Male,Black,7,02,A,45887.0,R,7.0,2.0,4.117647058823529,1.1764705882352942,5.294117647058823,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JMTES,600410252,5782448224,03,Female,Black,9,05,A,45887.0,R,13.0,0.0,7.647058823529412,0.0,7.647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
