outcome,school,n,mean,sd,median,min,max
Total school referrals,JMTES,417,0.2517985611510791,0.9153618860329344,0.0,0.0,9.0
Total school referrals,JES,676,0.6923076923076923,1.6456452072509882,0.0,0.0,12.0
School Level I referrals,JMTES,417,0.002398081534772182,0.048970210687439175,0.0,0.0,1.0
School Level I referrals,JES,676,0.0621301775147929,0.34295131399289014,0.0,0.0,6.0
School Level II referrals,JMTES,417,0.0671462829736211,0.4105575011163836,0.0,0.0,5.0
School Level II referrals,JES,676,0.34171597633136097,0.9752975686215943,0.0,0.0,8.0
School Level III referrals,JMTES,417,0.16786570743405277,0.5847612112904266,0.0,0.0,5.0
School Level III referrals,JES,676,0.28106508875739644,0.7567940501059028,0.0,0.0,6.0
School Level IV referrals,JMTES,417,0.014388489208633094,0.13792477277163176,0.0,0.0,2.0
School Level IV referrals,JES,676,0.0073964497041420114,0.08574741332005549,0.0,0.0,1.0
Total bus referrals,JMTES,417,0.026378896882494004,0.16045182698977636,0.0,0.0,1.0
Total bus referrals,JES,676,0.16272189349112426,0.6062643253332797,0.0,0.0,6.0
Bus Level I referrals,JMTES,417,0.002398081534772182,0.048970210687439175,0.0,0.0,1.0
Bus Level I referrals,JES,676,0.0,0.0,0.0,0.0,0.0
Bus Level II referrals,JMTES,417,0.019184652278177457,0.13733839088192,0.0,0.0,1.0
Bus Level II referrals,JES,676,0.15828402366863906,0.6013116643884133,0.0,0.0,6.0
Bus Level III referrals,JMTES,417,0.004796163069544364,0.06917104763841893,0.0,0.0,1.0
Bus Level III referrals,JES,676,0.004437869822485207,0.06651857318498897,0.0,0.0,1.0
