outcome,label,coefficient,robust_se,p_value,stars,irr,percent_difference,jes_weighted_rate_per_170_days,jmtes_weighted_rate_per_170_days,observations,events
classroom_total,Classroom referrals,-1.0114010915159608,0.10798408058858333,7.518701267392755e-21,***,0.36370903277378097,-63.6290967226219,0.6923076923076923,0.2517985611510791,1093,573.0
classroom_severity_points,Classroom severity-weighted frequency,-0.8411658615662713,0.0659583421508471,3.000261973189755e-37,***,0.43120750200570807,-56.879249799429196,1.6183431952662721,0.697841726618705,1093,1385.0
bus_total,Bus referrals,-1.8194782387498831,0.31622776601683794,8.731342583774476e-09,***,0.1621103117505995,-83.78896882494004,0.16272189349112426,0.026378896882494004,1093,121.0
bus_severity_points,Bus severity-weighted frequency,-1.7885707012868066,0.2190035748619201,3.1652984828054495e-16,***,0.16719897624501293,-83.28010237549871,0.32988165680473375,0.05515587529976019,1093,246.0
classroom_l1,Classroom L-I,-3.2545627640392056,1.0118347314702751,0.0012976616484622677,***,0.038597693273952266,-96.14023067260477,0.0621301775147929,0.002398081534772182,1093,43.0
classroom_l2,Classroom L-II,-1.627106346102427,0.20010819584237433,4.2529655270511405e-16,***,0.19649734757648424,-80.35026524235158,0.34171597633136097,0.0671462829736211,1093,259.0
classroom_l3,Classroom L-III,-0.5154219758669645,0.13981728140845512,0.00022745163480806415,***,0.597248516975893,-40.2751483024107,0.28106508875739644,0.16786570743405277,1093,260.0
classroom_l4,Classroom L-IV,0.6654284110381173,0.6055300708194984,0.2718034623618646,,1.9453237410071944,94.53237410071944,0.0073964497041420114,0.014388489208633094,1093,11.0
bus_l1,Bus L-I,nan,nan,nan,,nan,nan,0.0,0.002398081534772182,1093,1.0
bus_l2,Bus L-II,-2.1102804385379077,0.36653211918264866,8.540772586332886e-09,***,0.12120397140231738,-87.87960285976826,0.15828402366863906,0.019184652278177457,1093,115.0
bus_l3,Bus L-III,0.07764174613599814,0.9128709291752768,0.932219834553309,,1.0807354116706633,8.073541167066335,0.004437869822485207,0.004796163069544364,1093,5.0
