school,treatment,student_id,female,black,ses,grade,entry_date,enrolled_days,unexcused,excused,total_absences,unexcused_absence_rate,excused_absence_rate,total_absence_rate
JMTES,1,600409874,1,1,2,KF,2025-08-18,159,9.0,0.0,9.0,5.660377358490567,0.0,5.660377358490567
JMTES,1,600406441,1,1,1,03,2025-08-18,159,4.0,2.0,6.0,2.515723270440252,1.257861635220126,3.7735849056603774
JMTES,1,600411408,1,0,2,01,2025-08-18,159,9.0,9.0,18.0,5.660377358490567,5.660377358490567,11.320754716981133
JMTES,1,600412824,0,1,2,KF,2025-08-26,153,12.0,8.0,20.0,7.8431372549019605,5.228758169934641,13.071895424836603
JMTES,1,600409929,0,1,2,01,2025-08-18,159,6.0,2.0,8.0,3.7735849056603774,1.257861635220126,5.031446540880504
JMTES,1,600409921,1,0,0,01,2025-08-18,159,6.0,5.0,11.0,3.7735849056603774,3.1446540880503147,6.918238993710692
JMTES,1,600411584,1,1,2,05,2025-08-18,159,20.0,0.0,20.0,12.578616352201259,0.0,12.578616352201259
JMTES,1,600411406,1,1,0,01,2025-08-18,159,3.0,4.0,7.0,1.8867924528301887,2.515723270440252,4.40251572327044
JMTES,1,600407953,1,0,2,04,2025-08-18,159,8.0,0.0,8.0,5.031446540880504,0.0,5.031446540880504
JMTES,1,600413105,1,1,0,04,2026-02-06,59,9.0,0.0,9.0,15.254237288135593,0.0,15.254237288135593
JMTES,1,600413104,1,1,0,03,2026-02-06,59,9.0,0.0,9.0,15.254237288135593,0.0,15.254237288135593
JMTES,1,600406689,0,1,0,05,2025-08-18,159,18.0,0.0,18.0,11.320754716981133,0.0,11.320754716981133
JMTES,1,600412610,1,1,0,02,2025-08-18,159,19.0,3.0,22.0,11.949685534591195,1.8867924528301887,13.836477987421384
JMTES,1,600406949,0,0,2,03,2025-08-18,159,9.0,10.0,19.0,5.660377358490567,6.289308176100629,11.949685534591195
JMTES,1,600408602,0,0,2,03,2025-08-18,159,4.0,21.0,25.0,2.515723270440252,13.20754716981132,15.723270440251572
JMTES,1,600405562,1,0,2,04,2025-08-18,159,14.0,8.0,22.0,8.80503144654088,5.031446540880504,13.836477987421384
JMTES,1,600406322,1,0,2,04,2025-08-18,159,9.0,4.0,13.0,5.660377358490567,2.515723270440252,8.176100628930817
JMTES,1,600411674,1,1,2,01,2025-08-18,159,9.0,3.0,12.0,5.660377358490567,1.8867924528301887,7.547169811320755
JMTES,1,600412517,0,1,2,04,2025-08-18,159,19.0,10.0,29.0,11.949685534591195,6.289308176100629,18.238993710691823
JMTES,1,600408958,1,0,2,03,2025-08-18,159,7.0,6.0,13.0,4.40251572327044,3.7735849056603774,8.176100628930817
JMTES,1,600412982,0,0,2,01,2025-11-12,99,28.0,0.0,28.0,28.28282828282828,0.0,28.28282828282828
JMTES,1,600408041,1,1,2,04,2025-08-18,159,16.0,0.0,16.0,10.062893081761008,0.0,10.062893081761008
JMTES,1,600409876,1,1,2,KF,2025-09-24,133,27.0,0.0,27.0,20.30075187969925,0.0,20.30075187969925
JMTES,1,600410311,0,0,2,02,2025-08-18,159,7.0,2.0,9.0,4.40251572327044,1.257861635220126,5.660377358490567
JMTES,1,600412771,1,0,0,KF,2025-08-18,159,8.0,3.0,11.0,5.031446540880504,1.8867924528301887,6.918238993710692
