group_variable,group_level,treatment_students,control_students,outcome,weighted_jmtes_mean,weighted_jes_mean,effect_jmtes_minus_jes
grade,01,68,114,Excused absence % of 170-day year,2.57,1.27,1.30
grade,01,68,114,Unexcused absence % of 170-day year,4.93,9.79,-4.86
grade,01,68,114,Total absence % of 170-day year,7.50,11.06,-3.56
grade,01,68,114,School behavior severity points per 170-day year,0.90,1.44,-0.54
grade,01,68,114,Bus behavior severity points per 170-day year,0.05,0.27,-0.22
grade,01,68,114,Highest school behavior severity category (0-4),0.41,0.48,-0.06
grade,01,68,114,Highest bus behavior severity category (0-3),0.05,0.19,-0.14
grade,02,69,91,Excused absence % of 170-day year,1.79,1.53,0.26
grade,02,69,91,Unexcused absence % of 170-day year,5.91,8.14,-2.23
grade,02,69,91,Total absence % of 170-day year,7.69,9.67,-1.97
grade,02,69,91,School behavior severity points per 170-day year,1.36,0.71,0.65
grade,02,69,91,Bus behavior severity points per 170-day year,0.00,0.20,-0.20
grade,02,69,91,Highest school behavior severity category (0-4),0.66,0.34,0.32
grade,02,69,91,Highest bus behavior severity category (0-3),0.00,0.16,-0.16
grade,03,86,122,Excused absence % of 170-day year,1.47,1.03,0.44
grade,03,86,122,Unexcused absence % of 170-day year,5.37,8.07,-2.70
grade,03,86,122,Total absence % of 170-day year,6.83,9.10,-2.27
grade,03,86,122,School behavior severity points per 170-day year,0.61,2.06,-1.45
grade,03,86,122,Bus behavior severity points per 170-day year,0.03,0.41,-0.39
grade,03,86,122,Highest school behavior severity category (0-4),0.29,1.02,-0.74
grade,03,86,122,Highest bus behavior severity category (0-3),0.02,0.22,-0.19
grade,04,83,121,Excused absence % of 170-day year,1.95,1.00,0.95
grade,04,83,121,Unexcused absence % of 170-day year,5.13,8.12,-2.98
grade,04,83,121,Total absence % of 170-day year,7.08,9.11,-2.03
grade,04,83,121,School behavior severity points per 170-day year,0.33,1.62,-1.29
grade,04,83,121,Bus behavior severity points per 170-day year,0.15,0.38,-0.23
grade,04,83,121,Highest school behavior severity category (0-4),0.20,0.75,-0.55
grade,04,83,121,Highest bus behavior severity category (0-3),0.14,0.18,-0.05
grade,05,54,103,Excused absence % of 170-day year,1.62,1.12,0.50
grade,05,54,103,Unexcused absence % of 170-day year,4.93,10.14,-5.22
grade,05,54,103,Total absence % of 170-day year,6.54,11.26,-4.72
grade,05,54,103,School behavior severity points per 170-day year,0.45,2.10,-1.65
grade,05,54,103,Bus behavior severity points per 170-day year,0.16,0.64,-0.48
grade,05,54,103,Highest school behavior severity category (0-4),0.42,0.89,-0.47
grade,05,54,103,Highest bus behavior severity category (0-3),0.15,0.28,-0.13
grade,KF,59,125,Excused absence % of 170-day year,1.53,1.60,-0.07
grade,KF,59,125,Unexcused absence % of 170-day year,6.35,9.20,-2.85
grade,KF,59,125,Total absence % of 170-day year,7.88,10.80,-2.92
grade,KF,59,125,School behavior severity points per 170-day year,0.95,1.31,-0.36
grade,KF,59,125,Bus behavior severity points per 170-day year,0.04,0.09,-0.04
grade,KF,59,125,Highest school behavior severity category (0-4),0.36,0.42,-0.06
grade,KF,59,125,Highest bus behavior severity category (0-3),0.04,0.05,-0.01
gender,Female,199,313,Excused absence % of 170-day year,1.70,1.26,0.44
gender,Female,199,313,Unexcused absence % of 170-day year,5.69,7.87,-2.18
gender,Female,199,313,Total absence % of 170-day year,7.39,9.13,-1.75
gender,Female,199,313,School behavior severity points per 170-day year,0.31,0.63,-0.32
gender,Female,199,313,Bus behavior severity points per 170-day year,0.04,0.22,-0.18
gender,Female,199,313,Highest school behavior severity category (0-4),0.15,0.38,-0.22
gender,Female,199,313,Highest bus behavior severity category (0-3),0.04,0.12,-0.08
gender,Male,220,363,Excused absence % of 170-day year,1.93,1.22,0.71
gender,Male,220,363,Unexcused absence % of 170-day year,5.19,9.66,-4.48
gender,Male,220,363,Total absence % of 170-day year,7.12,10.89,-3.77
gender,Male,220,363,School behavior severity points per 170-day year,1.13,2.36,-1.23
gender,Male,220,363,Bus behavior severity points per 170-day year,0.09,0.42,-0.33
gender,Male,220,363,Highest school behavior severity category (0-4),0.58,0.92,-0.34
gender,Male,220,363,Highest bus behavior severity category (0-3),0.09,0.24,-0.15
ethnicity,Black,268,385,Excused absence % of 170-day year,1.60,1.00,0.60
ethnicity,Black,268,385,Unexcused absence % of 170-day year,5.81,9.53,-3.72
ethnicity,Black,268,385,Total absence % of 170-day year,7.40,10.53,-3.12
ethnicity,Black,268,385,School behavior severity points per 170-day year,0.67,1.76,-1.08
ethnicity,Black,268,385,Bus behavior severity points per 170-day year,0.07,0.36,-0.29
ethnicity,Black,268,385,Highest school behavior severity category (0-4),0.39,0.75,-0.36
ethnicity,Black,268,385,Highest bus behavior severity category (0-3),0.07,0.19,-0.12
ethnicity,NonBlack,151,291,Excused absence % of 170-day year,2.18,1.62,0.56
ethnicity,NonBlack,151,291,Unexcused absence % of 170-day year,4.81,7.72,-2.91
ethnicity,NonBlack,151,291,Total absence % of 170-day year,6.98,9.34,-2.35
ethnicity,NonBlack,151,291,School behavior severity points per 170-day year,0.87,1.24,-0.37
ethnicity,NonBlack,151,291,Bus behavior severity points per 170-day year,0.07,0.29,-0.22
ethnicity,NonBlack,151,291,Highest school behavior severity category (0-4),0.36,0.53,-0.17
ethnicity,NonBlack,151,291,Highest bus behavior severity category (0-3),0.06,0.16,-0.10
meal_group,Free/Reduced/Direct/Medicaid,350,560,Excused absence % of 170-day year,1.75,1.38,0.38
meal_group,Free/Reduced/Direct/Medicaid,350,560,Unexcused absence % of 170-day year,5.72,9.11,-3.39
meal_group,Free/Reduced/Direct/Medicaid,350,560,Total absence % of 170-day year,7.47,10.48,-3.02
meal_group,Free/Reduced/Direct/Medicaid,350,560,School behavior severity points per 170-day year,0.83,1.64,-0.80
meal_group,Free/Reduced/Direct/Medicaid,350,560,Bus behavior severity points per 170-day year,0.06,0.35,-0.29
meal_group,Free/Reduced/Direct/Medicaid,350,560,Highest school behavior severity category (0-4),0.42,0.70,-0.28
meal_group,Free/Reduced/Direct/Medicaid,350,560,Highest bus behavior severity category (0-3),0.06,0.20,-0.14
meal_group,Full Pay,69,116,Excused absence % of 170-day year,2.16,0.55,1.61
meal_group,Full Pay,69,116,Unexcused absence % of 170-day year,3.97,7.47,-3.51
meal_group,Full Pay,69,116,Total absence % of 170-day year,6.12,8.02,-1.90
meal_group,Full Pay,69,116,School behavior severity points per 170-day year,0.34,1.17,-0.83
meal_group,Full Pay,69,116,Bus behavior severity points per 170-day year,0.11,0.23,-0.12
meal_group,Full Pay,69,116,Highest school behavior severity category (0-4),0.19,0.48,-0.29
meal_group,Full Pay,69,116,Highest bus behavior severity category (0-3),0.10,0.11,-0.01
entry_code,C,35,52,Excused absence % of 170-day year,2.15,0.55,1.60
entry_code,C,35,52,Unexcused absence % of 170-day year,5.27,9.22,-3.95
entry_code,C,35,52,Total absence % of 170-day year,7.42,9.77,-2.36
entry_code,C,35,52,School behavior severity points per 170-day year,0.91,1.13,-0.21
entry_code,C,35,52,Bus behavior severity points per 170-day year,0.18,0.07,0.10
entry_code,C,35,52,Highest school behavior severity category (0-4),0.67,0.35,0.32
entry_code,C,35,52,Highest bus behavior severity category (0-3),0.16,0.07,0.09
entry_code,R,366,605,Excused absence % of 170-day year,1.82,1.31,0.51
