Grade,Subject,jmtes_mean,jmtes_sd,jmtes_median,jmtes_n,jes_mean,jes_sd,jes_median,jes_n,difference_in_mean
Kindergarten,ELA,1059.37,12.20,1063,54,1057.74,15.71,1061,126,1.63
Kindergarten,Math,1058.02,16.76,1056,54,1057.05,18.93,1056,126,0.97
Grade 1,ELA,1056.77,11.94,1056.5,62,1053.68,20.06,1060,113,3.09
Grade 1,Math,1051.48,15.64,1050,62,1053.63,19.11,1057,112,-2.15
Grade 2,ELA,1053.22,17.21,1055,67,1050.68,21.09,1056,90,2.55
Grade 2,Math,1050.90,13.15,1052,67,1049.37,16.61,1050,90,1.53
Grade 3,ELA,1050.61,15.46,1051,85,1041.85,12.77,1040,123,8.77
Grade 3,Math,1047.96,15.96,1049,85,1041.48,16.28,1043,123,6.49
Grade 3,Science,1052.82,15.35,1051,85,1043.99,10.87,1044,123,8.83
Grade 4,ELA,1054.91,15.81,1053,77,1044.08,13.55,1040.5,120,10.83
Grade 4,Math,1052.55,16.01,1048,77,1039.65,16.95,1043,121,12.89
Grade 4,Science,1053.78,15.06,1052,77,1044.61,11.76,1042,121,9.17
Grade 5,ELA,1050.43,14.90,1052,53,1045.03,12.20,1043,99,5.40
Grade 5,Math,1046.08,20.59,1048,53,1040.29,16.60,1042,99,5.78
Grade 5,Science,1052.92,14.86,1053,53,1042.55,11.63,1042,98,10.37
